DISTRICT,ADDRESS,CITY,STATE,ZIP,WEBSITE,LOCATION,Latitude,Longitude
1,1718 S State St,Chicago,IL,60616,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District1,"1718 State St
Chicago, IL 60616
(41.85882087432612, -87.62734256712464)",41.85882087,-87.62734257
2,5101 S Wentworth Ave,Chicago,IL,60609,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District2,"5101 Wentworth Ave
Chicago, IL 60609
(41.8017738753714, -87.630663656445)",41.80177388,-87.63066366
3,7040 S Cottage Grove Ave,Chicago,IL,60637,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District3,"7040 Cottage Grove Ave
Chicago, IL 60637
(41.76697112291843, -87.6056617928308)",41.76697112,-87.60566179
4,2255 E 103rd St,Chicago,IL,60617,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District4,"2255 103rd St
Chicago, IL 60617
(41.70778489172678, -87.56718279470178)",41.70778489,-87.56718279
5,727 E 111th St,Chicago,IL,60628,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District5,"727 111th St
Chicago, IL 60628
(41.69279473591493, -87.60536435875626)",41.69279474,-87.60536436
6,7808 S Halsted St,Chicago,IL,60620,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District6,"7808 Halsted St
Chicago, IL 60620
(41.7522817574851, -87.64414141672431)",41.75228176,-87.64414142
7,1438 W 63rd St,Chicago,IL,60636,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District7,"1438 63rd St
Chicago, IL 60636
(41.77965870830844, -87.65945323490796)",41.77965871,-87.65945323
8,3420 W 63rd St,Chicago,IL,60629,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District8,"3420 63rd St
Chicago, IL 60629
(41.77899321000677, -87.70878104821506)",41.77899321,-87.70878105
9,3120 S Halsted St,Chicago,IL,60608,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District9,"3120 Halsted St
Chicago, IL 60608
(41.83750310123302, -87.64661990954984)",41.8375031,-87.64661991
10,3315 W Ogden Ave,Chicago,IL,60623,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District10,"3315 Ogden Ave
Chicago, IL 60623
(41.85636188418744, -87.70840333296276)",41.85636188,-87.70840333
11,3151 W Harrison St,Chicago,IL,60612,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District11,"3151 Harrison St
Chicago, IL 60612
(41.873690811457, -87.70519897133927)",41.87369081,-87.70519897
12,100 S Racine Ave,Chicago,IL,60607,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District12,"100 Racine Ave
Chicago, IL 60607
(41.88031148430877, -87.65715796324291)",41.88031148,-87.65715796
14,2150 N California Ave,Chicago,IL,60647,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District14,"2150 California Ave
Chicago, IL 60647
(41.92125066466082, -87.69732502896069)",41.92125066,-87.69732503
15,5701 W Madison St,Chicago,IL,60644,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District15,"5701 Madison St
Chicago, IL 60644
(41.87978022983041, -87.76818126825033)",41.87978023,-87.76818127
16,5151 N Milwaukee Ave,Chicago,IL,60630,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District16,"5151 Milwaukee Ave
Chicago, IL 60630
(41.974188798165315, -87.76623800785116)",41.9741888,-87.76623801
17,4650 N Pulaski Rd,Chicago,IL,60630,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District17,"4650 Pulaski Rd
Chicago, IL 60630
(41.966052192101166, -87.72816143794648)",41.96605219,-87.72816144
18,1160 N Larrabee St,Chicago,IL,60610,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District18,"1160 Larrabee St
Chicago, IL 60610
(41.90311763649074, -87.64353523498934)",41.90311764,-87.64353523
19,850 W Addison St,Chicago,IL,60613,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District23,"3600 Halsted St
Chicago, IL 60613
(41.94665927496925, -87.64947786133158)",41.94665927,-87.64947786
20,5400 N Lincoln Ave,Chicago,IL,60625,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District20,"5400 Lincoln Ave
Chicago, IL 60625
(41.97954202254066, -87.69301593304144)",41.97954202,-87.69301593
22,1900 W Monterey Ave,Chicago,IL,60643,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District22,"1900 Monterey Ave
Chicago, IL 60643
(41.691350048962875, -87.66855780581959)",41.69135005,-87.66855781
24,6464 N Clark St,Chicago,IL,60626,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District24,"6464 Clark St
Chicago, IL 60626
(41.99944797184307, -87.67118638353655)",41.99944797,-87.67118638
25,5555 W Grand Ave,Chicago,IL,60639,https://portal.chicagopolice.org/portal/page/portal/ClearPath/Communities/Districts/District25,"5555 Grand Ave
Chicago, IL 60639
(41.91848587824693, -87.76465420759772)",41.91848588,-87.76465421
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,https://portal.chicagopolice.org/portal/page/portal/ClearPath,"3510 S Michigan Ave Chicago, IL 60653 (41.83086072588734, -87.62330200626332)
",41.83086073,-87.62330201
